Time,Signal,MaxFrequency
0.0,0.0,10.0
0.001,0.07535655941266597,10.0
0.002,0.15046332900764173,10.0
0.003,0.22507149725565917,10.0
0.004,0.29893420534462434,10.0
0.005,0.37180751390426076,10.0
0.006,0.4434513582126107,10.0
0.007,0.5136304881158158,10.0
0.008,0.5821153889529302,10.0
0.009000000000000001,0.6486831798524784,10.0
0.01,0.7131184858567774,10.0
0.011,0.7752142804333277,10.0
0.012,0.8347726950494458,10.0
0.013000000000000001,0.8916057926162951,10.0
0.014,0.9455363017510653,10.0
0.015,0.996398308960672,10.0
0.016,1.0440379060164222,10.0
0.017,1.0883137899659183,10.0
0.018000000000000002,1.1290978134154008,10.0
0.019,1.166275482911976,10.0
0.02,1.1997464034600083,10.0
0.021,1.229424667418528,10.0
0.022,1.2552391862460137,10.0
0.023,1.277133963784454,10.0
0.024,1.2950683100053064,10.0
0.025,1.3090169943749475,10.0
0.026000000000000002,1.3189703382354812,10.0
0.027,1.3249342458374644,10.0
0.028,1.3269301739032058,10.0
0.029,1.3249950398418817,10.0
0.03,1.3191810689798316,10.0
0.031,1.3095555814100526,10.0
0.032,1.296200719303222,10.0
0.033,1.2792131157575262,10.0
0.034,1.2587035064952992,10.0
0.035,1.23479628594002,10.0
0.036000000000000004,1.2076290094267221,10.0
0.037,1.177351843511444,10.0
0.038,1.1441269665501768,10.0
0.039,1.1081279219140223,10.0
0.04,1.0695389263941886,10.0
0.041,1.0285541365272883,10.0
0.042,0.985376875737476,10.0
0.043000000000000003,0.9402188253465789,10.0
0.044,0.8932991826459737,10.0
0.045,0.8448437893539442,10.0
0.046,0.795084233899124,10.0
0.047,0.7442569310739126,10.0
0.048,0.6926021826910607,10.0
0.049,0.6403632229515811,10.0
0.05,0.5877852522924732,10.0
0.051000000000000004,0.5351144635282055,10.0
0.052000000000000005,0.48259706413030123,10.0
0.053,0.43047829850461,10.0
0.054,0.3790014741258459,10.0
0.055,0.32840699537374235,10.0
0.056,0.2789314088847663,10.0
0.057,0.23080646418788386,10.0
0.058,0.1842581933325363,10.0
0.059000000000000004,0.1395060131420277,10.0
0.06,0.09676185363621559,10.0
0.061,0.0562293160641153,10.0
0.062,0.01810286387016047,10.0
0.063,-0.017432950212125986,10.0
0.064,-0.05020421788788243,10.0
0.065,-0.08004836695353579,10.0
0.066,-0.10681480814384137,10.0
0.067,-0.13036553461968148,10.0
0.068,-0.15057567172991604,10.0
0.069,-0.16733397487680357,10.0
0.07,-0.18054327351936428,10.0
0.07100000000000001,-0.19012085956160774,10.0
0.07200000000000001,-0.1959988185920698,10.0
0.073,-0.1981243026666425,10.0
0.074,-0.19645974355739504,10.0
0.075,-0.19098300562505255,10.0
0.076,-0.18168747771108762,10.0
0.077,-0.16858210368605042,10.0
0.078,-0.15169135153287616,10.0
0.079,-0.13105512108648942,10.0
